date,recovered_cases,cumulative_recovered
2021/7/2,32568,16509821
2021/7/3,14279,16524100
2021/7/4,58383,16582483
2021/7/5,93078,16675561
2021/7/6,64575,16740136
2021/7/7,23386,16763522
2021/7/8,32639,16796161
2021/7/9,27140,16823301
2021/7/10,160032,16983333
2021/7/11,17710,17001043
2021/7/12,13753,17014796
2021/7/13,22231,17037027
2021/7/14,91402,17128429
2021/7/15,13419,17141848
2021/7/16,110802,17252650
2021/7/17,1679,17254329
2021/7/18,50485,17304814
2021/7/19,14515,17319329
2021/7/20,51736,17371065
2021/7/21,33430,17404495
2021/7/22,65837,17470332
2021/7/23,4759,17475091
